提高	0
播种机	1
作业	2
效率	3
协同	4
全球卫星	5
定位	6
技术	7
GIS	8
地理信息系统	9
提出	10
一种	11
旅游	12
资源	13
开发	14
规划	15
调度	16
系统	17
对系统	18
性能	19
验证	20
利用	21
农田	22
地理信息	23
数据	24
规划图	25
借助	26
面向	27
数据分析	28
路径	29
方法	30
设计	31
可行性	32
编队	33
控制	34
测试	35
结果表明	36
成功	37
缩短	38
等待时间	39
转弯	40
并行	41
大大提高	42
播种	43
国土	44
优化	45
土地	46
集约型	47
生态	48
文明	49
建设	50
重要一环	51
敏感性	52
分析	53
空间	54
开发利用	55
提供	56
参考	57
基础	58
区域	59
生态环境	60
持续	61
发展	62
选取	63
高程	64
坡度	65
水域	66
NDVI	67
土地利用	68
类型	69
因子	70
层次	71
分析法	72
AHP	73
权重	74
采用	75
叠加	76
敏感度	77
定量分析	78
敏感	79
分为	80
高度	81
敏感区	82
中度	83
低度	84
非	85
综合	86
城市群	87
分区	88
保护	89
对策	90
建议	91
国家	92
气象站	93
127	94
自动	95
建站	96
气温	97
资料	98
耿	99
贝尔	100
分布	101
推算	102
站点	103
重现	104
期	105
温度	106
气象	107
参数	108
精细化	109
研究	110
推算出	111
km	112
分辨率	113
一遇	114
特征	115
用耿	116
函数	117
拟合	118
准确	119
格网	120
精准	121
细致	122
描述	123
出其	124
高新科技	125
气候	126
论证	127
业务	128
领域	129
新	130
途径	131
最低气温	132
北部	133
低	134
南部	135
高	136
丘陵	137
山区	138
盆地	139
平原	140
右江河谷	141
上游	142
田林	143
隆林	144
西林	145
崇左	146
桂林市	147
灵川县	148
临桂县	149
向南	150
靠近	151
沿海	152
湘	153
黔	154
交界	155
边缘	156
金秀县	157
靖西县	158
德保县	159
传统	160
农业	161
调查	162
中	163
地块	164
自然	165
属性	166
生产	167
决策	168
信息	169
分离	170
工作效率	171
低等	172
本文	173
讨论	174
构建	175
端	176
农户	177
软件	178
关键技术	179
ArcGIS	180
离线	181
编辑	182
解决	183
网络通信	184
野外	185
工作	186
经营权	187
确认	188
采集	189
关联	190
一张	191
图	192
质量	193
现代化	194
信息化	195
管理	196
支撑	197
变电站	198
设备	199
SF6	200
气体	201
泄漏	202
压力	203
检测	204
模型	205
时间	206
曲线	207
未来	208
变化趋势	209
漏气	210
速率	211
预估	212
值	213
测量	214
发现	215
之间	216
误差	217
小于	218
0.1	219
证明	220
准确性	221
缺陷	222
补气	223
指导	224
广州市	225
增	226
城区	227
2009	228
统计数据	229
降水量	230
时空	231
变化规律	232
遥感	233
影像	234
DEM	235
管网	236
社会	237
经济	238
指数	239
风险	240
增城	241
本土	242
暴雨	243
洪涝	244
评估	245
分布图	246
有利于	247
灾害	248
高发	249
认知	250
防灾	251
避灾	252
电网	253
多用户	254
现实	255
确保	256
一致性	257
正确性	258
划分	259
版本	260
锁定	261
机制	262
体系结构	263
流程	264
算法	265
客户端	266
同步	267
结合实际	268
项目	269
需求	270
原型	271
专业	272
学生	273
软件设计	274
编程	275
技能	276
单一	277
课堂教学	278
模式	279
难以	280
培养	281
人才	282
文中	283
引导	284
参加	285
考试	286
科目	287
培训	288
引入	289
数据库	290
课程	291
教学	292
紧密结合	293
驱动	294
情景	295
分级	296
分组	297
教学方法	298
双重	299
考核	300
教学改革	301
改革	302
实施	303
活跃	304
氛围	305
改善	306
课堂秩序	307
课后	308
学习	309
自主性	310
实践	311
积极性	312
高质量	313
打下基础	314
绝缘	315
金属	316
封闭	317
开关设备	318
交流	319
耐压	320
试验	321
内部	322
电场	323
畸变	324
超声波	325
局部	326
放电	327
隐藏	328
自由	329
颗粒	330
弱点	331
说	332
补充	333
水电站	334
案例	335
三相	336
箱式	337
相别间	338
顺序	339
选择	340
工作量	341
检出	342
影响	343
针对性	344
措施	345
类似	346
电气设备	347
交接	348
借鉴	349
妥善处置	350
固体废物	351
发展中国家	352
市政	353
策略	354
城市	355
荒地	356
适合	357
处置	358
地方	359
不当	360
场地	361
形态	362
变化	363
危害	364
地区	365
环境	366
准则	367
决策分析	368
MCDA	369
Coimbatore	370
选址	371
标准	372
包括	373
线性	374
密度	375
覆盖	376
人口密度	377
地下水	378
埋深	379
河网密度	380
土壤质地	381
地质	382
地貌	383
分析方法	384
各子	385
选	386
有效性	387
选出	388
卫星	389
图像	390
可视化	391
筛选	392
细化	393
适宜	394
地点	395
填埋场	396
适宜性	397
地图	398
逐年	399
增多	400
可靠性	401
稳定	402
作用	403
至关重要	404
现场	405
安装	406
过程	407
洁净度	408
精度	409
密封性	410
微水	411
含量	412
管控	413
保证	414
可靠	415
运行	416
推进	417
贵州省	418
红线	419
VMware	420
部署	421
私有	422
云	423
Oracle	424
ArcSDE	425
建立	426
REST	427
服务	428
S	429
C	430
混合	431
表现	432
层	433
支持	434
二维	435
三维	436
显示	437
查询	438
在线	439
地理	440
打印	441
功能	442
省级	443
空间数据	444
分布式	445
存储	446
规范化	447
快速	448
发布	449
拓展	450
设计方案	451
周期短	452
